;Time;ID_Function;ID;symbol;price_each;units;price_total;profit;fee;account
0;1587153387.547036;S-BUY;0;IBM;98.3;50;4915.0;-0.49273182957393485;0.01;5060.0
1;1587153387.577717;S-BUY;1;IBM;98.18;25;2454.5;-0.48567895127380656;0.01;2599.25
2;1587153387.607888;S-BUY;2;IBM;98.3;13;1277.8999999999999;-0.49196168712176036;0.01;1319.66
3;1587153387.63609;S-SELL;3;IBM;97.5;44;4290.0;0.43419734218596606;0.01;5590.3
4;1587153387.668369;S-BUY;4;IBM;97.72;28;2736.16;-0.49013517338234397;0.01;2846.3
5;1587153387.700371;S-BUY;5;IBM;97.61;14;1366.54;-0.4804418599745459;0.01;1477.8000000000002
6;1587153387.72839;S-BUY;6;IBM;97.02;7;679.14;-0.459713939525218;0.01;798.1700000000003
7;1587153387.763179;S-BUY;7;IBM;96.55;4;386.2;-0.4839538351649727;0.01;411.8100000000003
8;1587153387.801675;S-SELL;8;IBM;96.2;48;4617.6;0.47980199439524435;0.01;5006.37
9;1587153387.832321;S-BUY;9;IBM;97.45;25;2436.25;-0.4872383062806493;0.01;2563.87
10;1587153387.860579;S-BUY;10;IBM;97.33;13;1265.29;-0.4938333762655239;0.01;1296.8899999999999
11;1587153387.890017;S-BUY;11;IBM;97.31;6;583.86;-0.4503250985322361;0.01;712.6699999999998
12;1587153387.918693;S-SELL;12;IBM;96.45;46;4436.7;0.46385172468951613;0.01;5128.210000000001
13;1587153387.947363;S-BUY;13;IBM;96.67;26;2513.42;-0.4907633580333694;0.01;2608.0300000000007
14;1587153387.990516;S-BUY;14;IBM;97.51;13;1267.63;-0.4863640200434324;0.01;1338.7100000000007
15;1587153388.028205;S-BUY;15;IBM;96.65;6;579.9000000000001;-0.4332947285837036;0.01;758.4500000000007
16;1587153388.0565;S-SELL;16;IBM;96.1;46;4420.599999999999;0.4615132447807535;0.01;5157.89
17;1587153388.085701;S-BUY;17;IBM;97.67;26;2539.42;-0.49298309303007304;0.01;2611.71
18;1587153388.114729;S-BUY;18;IBM;97.08;13;1262.04;-0.4835365246243324;0.01;1347.98
19;1587153388.142732;S-BUY;19;IBM;95.76;7;670.32;-0.4974582371668806;0.01;677.1700000000001
20;1587153388.171119;S-BUY;20;IBM;95.88;3;287.64;-0.42482424528859214;0.01;389.44000000000005
21;1587153388.202479;S-SELL;21;IBM;94.24;47;4429.28;0.48009139477840124;0.01;4796.629999999999
22;1587153388.232556;S-BUY;22;IBM;95.5;25;2387.5;-0.49839469937666747;0.01;2402.879999999999
23;1587153388.266168;S-SELL;23;IBM;94.72;36;3409.92;0.37025069057174137;0.01;5799.839999999999
24;1587153388.303762;S-BUY;24;IBM;95.46;30;2863.7999999999997;-0.49453965227842595;0.01;2927.0399999999995
25;1587153388.338202;S-BUY;25;IBM;95.28;15;1429.2;-0.4886504672130308;0.01;1495.5899999999995
26;1587153388.367294;S-BUY;26;IBM;95.11;7;665.77;-0.4453013176376164;0.01;829.3299999999995
27;1587153388.397064;S-SELL;27;IBM;94.45;44;4155.8;0.45560139318121773;0.01;4965.77
28;1587153388.425886;S-SELL;28;IBM;95.1;22;2092.2;0.22877249918811018;0.01;7053.13
29;1587153388.455644;S-BUY;29;IBM;95.46;36;3436.56;-0.4881359398991786;0.01;3603.6100000000006
30;1587153388.486148;S-SELL;30;IBM;94.89;29;2751.81;0.30243592026218785;0.01;6347.01
31;1587153388.514537;S-BUY;31;IBM;95.92;33;3165.36;-0.4995738717069752;0.01;3170.76
32;1587153388.542362;S-BUY;32;IBM;95.32;16;1525.12;-0.481383751025819;0.01;1643.0800000000004
33;1587153388.57046;S-BUY;33;IBM;94.79;8;758.32;-0.4617033194515476;0.01;884.1200000000003
34;1587153388.599893;S-BUY;34;IBM;93.61;4;374.44;-0.4235938277750123;0.01;509.5200000000003
35;1587153388.629671;S-BUY;35;IBM;93.37;2;186.74;-0.36653058019941875;0.01;322.74000000000035
36;1587153388.658352;S-BUY;36;IBM;93.37;1;93.37;-0.28931304805874847;0.01;229.36000000000035
37;1587153388.687445;S-BUY;37;IBM;93.28;1;93.28;-0.40671462829736155;0.01;136.07000000000033
38;1587153388.717016;S-SELL;38;IBM;91.2;47;4286.400000000001;0.49343945627723956;0.01;4400.380000000001
39;1587153388.748415;S-BUY;39;IBM;90.47;24;2171.2799999999997;-0.4940768485102237;0.01;2223.340000000001
40;1587153388.782218;S-BUY;40;IBM;90.11;12;1081.32;-0.48666456636212224;0.01;1140.580000000001
41;1587153388.812286;S-BUY;41;IBM;89.75;6;538.5;-0.4722772798231915;0.01;601.720000000001
42;1587153388.844602;S-SELL;42;IBM;89.5;45;4027.5;0.46633636196269995;0.01;4608.970000000001
43;1587153388.875755;S-BUY;43;IBM;90.0;25;2250.0;-0.48884138074877453;0.01;2352.720000000001
44;1587153388.906989;S-BUY;44;IBM;89.0;13;1157.0;-0.49212472831057;0.01;1194.030000000001
45;1587153388.935603;S-BUY;45;IBM;88.43;6;530.58;-0.4444947095931033;0.01;663.090000000001
46;1587153388.967072;S-SELL;46;IBM;87.39;44;3845.16;0.46137952136116284;0.01;4488.890000000001
47;1587153389.000198;S-SELL;47;IBM;88.1;22;1938.1999999999998;0.2318296263957083;0.01;6422.250000000001
48;1587153389.029604;S-BUY;48;IBM;88.82;36;3197.5199999999995;-0.49888833240499325;0.01;3211.7700000000013
49;1587153389.059349;S-BUY;49;IBM;89.37;17;1519.29;-0.4734642616738549;0.01;1689.5900000000013
50;1587153389.088081;S-BUY;50;IBM;85.92;9;773.28;-0.45789267992278415;0.01;915.5000000000013
51;1587153389.11693;S-BUY;51;IBM;84.85;5;424.25;-0.4635345534007095;0.01;491.0000000000013
52;1587153389.14619;S-BUY;52;IBM;84.78;2;169.56;-0.3453641844549445;0.01;321.40000000000134
53;1587153389.176659;S-SELL;53;IBM;84.98;46;3909.0800000000004;0.4815086716594402;0.01;4209.3200000000015
54;1587153389.20574;S-SELL;54;IBM;86.0;23;1978.0;0.24240106960391072;0.01;6182.030000000002
55;1587153389.234128;S-SELL;55;IBM;86.63;11;952.93;0.11783945945678569;0.01;7133.750000000002
56;1587153389.267302;S-SELL;56;IBM;86.71;6;520.26;0.06364885348627522;0.01;7653.6500000000015
57;1587153389.298279;S-SELL;57;IBM;87.42;3;262.26;0.032068651810693946;0.01;7915.8200000000015
58;1587153389.330696;S-BUY;58;IBM;88.04;44;3873.76;-0.4905691917644109;0.01;4022.700000000001
59;1587153389.360295;S-SELL;59;IBM;87.32;23;2008.36;0.24997852910022614;0.01;6025.77
60;1587153389.389146;S-BUY;60;IBM;87.16;34;2963.44;-0.49273969482276136;0.01;3050.7700000000004
61;1587153389.419441;S-BUY;61;IBM;86.72;17;1474.24;-0.48369358373689253;0.01;1573.6400000000003
62;1587153389.451614;S-BUY;62;IBM;85.74;9;771.66;-0.49061882085158587;0.01;801.1700000000003
63;1587153389.482401;S-BUY;63;IBM;84.98;4;339.92;-0.42436424014681456;0.01;461.09000000000026
64;1587153389.505601;S-BUY;64;IBM;84.48;2;168.96;-0.36646784513610214;0.01;292.09000000000026
65;1587153389.529611;S-BUY;65;IBM;84.16;1;84.16;-0.2881402355519033;0.01;207.92000000000024
66;1587153389.555351;S-BUY;66;IBM;84.43;1;84.43;-0.4060891731999418;0.01;123.48000000000023
